date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2018-02-22,58.3,58.52,58.14,57.2,251527.2,1.22,2.14,55.354,55.605,57.964,341646.42,434143.19,392659.91,3
2018-02-14,55.61,57.1,56.92,54.72,219574.41,1.61,2.91,54.48,55.725,58.004,379297.44,446993.67,391272.63,2
2018-02-13,55.04,56.5,55.31,54.68,258920.44,0.89,1.64,53.654,56.015,58.096,442090.28,450443.47,400995.76,1
2018-02-12,51.98,54.88,54.42,51.97,374561.69,2.44,4.69,53.692,56.36,58.385,566374.69,455503.05,402518.0,0
2018-02-09,51.95,52.45,51.98,50.15,603648.38,-1.79,-3.33,54.272,56.905,58.722,602390.16,464755.47,402151.2,4
2018-02-08,52.6,54.44,53.77,52.51,439782.28,0.98,1.86,55.856,57.907,59.163,526639.95,437742.27,384613.79,3
2018-02-07,56.4,56.58,52.79,52.71,533538.62,-2.71,-4.88,56.97,58.66,59.455,514689.9,422020.46,378426.44,2
2018-02-06,55.7,55.81,55.5,53.82,880342.5,-1.82,-3.17,58.376,59.422,59.844,458796.66,401279.25,374197.86,1
2018-02-05,58.91,59.54,57.32,56.5,554639.0,-2.58,-4.31,59.028,60.084,60.043,344631.41,351892.25,352583.44,0
2018-02-02,58.95,60.09,59.9,58.4,224897.36,0.56,0.94,59.538,60.495,60.06,327120.78,342278.5,343245.73,4
2018-02-01,60.0,60.1,59.34,58.14,380032.0,-0.48,-0.8,59.958,60.322,59.963,348844.59,351176.63,350593.57,3
2018-01-31,58.33,60.42,59.82,58.2,254072.44,1.06,1.8,60.35,60.283,59.86,329351.02,335551.59,351869.83,2
2018-01-30,59.42,60.68,58.76,58.5,309516.25,-1.11,-1.85,60.468,60.176,59.659,343761.84,351548.05,360584.62,1
2018-01-29,61.97,62.18,59.87,58.9,467085.84,-2.13,-3.44,61.14,60.409,59.54,359153.09,349532.95,361595.07,0
2018-01-26,61.3,62.69,62.0,60.53,333516.41,0.7,1.14,61.452,60.538,59.318,357436.22,339546.94,353557.51,4
2018-01-25,60.8,61.42,61.3,59.0,282564.16,0.89,1.47,60.686,60.418,58.996,353508.68,331485.32,353431.2,3
2018-01-24,62.39,62.65,60.41,60.2,326126.53,-1.71,-2.75,60.216,60.25,58.65,341752.16,334832.43,356657.13,2
2018-01-23,61.38,62.64,62.12,60.23,386472.53,0.69,1.12,59.884,60.265,58.445,359334.26,347116.46,357808.62,1
2018-01-22,58.58,61.54,61.43,58.58,458501.47,3.26,5.6,59.678,60.001,58.232,339912.81,353274.62,356687.91,0
2018-01-19,58.95,59.11,58.17,57.9,313878.69,-0.78,-1.32,59.624,59.624,57.99,321657.66,344212.96,344451.64,4
2018-01-18,59.0,59.79,58.95,58.5,223781.56,0.2,0.34,60.15,59.603,57.878,309461.96,350010.51,343205.88,3
2018-01-17,61.0,61.01,58.75,58.45,414037.03,-2.34,-3.83,60.284,59.437,57.684,327912.7,368188.07,348557.94,2
2018-01-16,61.0,61.83,61.09,60.1,289365.28,-0.07,-0.11,60.646,59.142,57.519,334898.67,369621.19,344220.53,1
2018-01-15,61.32,62.66,61.16,61.0,367225.72,0.36,0.59,60.324,58.671,57.23,366636.44,373657.19,347885.67,0
2018-01-12,59.62,61.18,60.8,59.3,252900.2,1.18,1.98,59.624,58.098,56.857,366768.26,367568.08,342425.77,4
2018-01-11,60.01,60.88,59.62,58.88,316035.28,-0.94,-1.55,59.056,57.573,56.542,390559.07,375377.08,345038.23,3
2018-01-10,59.59,61.3,60.56,58.9,448966.88,1.08,1.82,58.59,57.05,56.306,408463.43,378481.83,345525.3,2
2018-01-09,57.8,59.95,59.48,57.24,448054.12,1.82,3.16,57.638,56.624,55.943,404343.72,368500.78,339148.0,1
2018-01-08,57.7,58.3,57.66,56.72,367884.81,-0.3,-0.52,57.018,56.463,55.65,380677.93,360101.19,340781.62,0
2018-01-05,57.6,58.2,57.96,56.75,371854.25,0.67,1.17,56.572,56.355,55.289,368367.89,344690.33,345328.54,4
2018-01-04,56.02,57.3,57.29,55.82,405557.09,1.49,2.67,56.09,56.153,54.847,360195.09,336401.25,345757.27,3
